"filters1","kernel_size1","pool_size1","filters2","kernel_size2","dense_units","dropout_cnn","dropout_dense","learning_rate","batch_size","epochs","val_accuracy","num_actual_epochs"
128,7,2,128,3,64,0.3,0.3,0.01,16,30,0.485436886548996,30
32,3,2,64,5,64,0.3,0.3,0.01,16,30,0.436893194913864,17
64,3,2,64,5,64,0.3,0.3,0.01,16,30,0.475728154182434,30
32,5,2,64,5,64,0.3,0.3,0.01,16,30,0.475728154182434,30
64,5,2,64,5,64,0.3,0.3,0.01,16,30,0.466019421815872,30
32,7,2,64,5,64,0.3,0.3,0.01,16,30,0.524271845817566,30
64,7,2,64,5,64,0.3,0.3,0.01,16,30,0.475728154182434,27
32,3,2,128,5,64,0.3,0.3,0.01,16,30,0.485436886548996,16
64,3,2,128,5,64,0.3,0.3,0.01,16,30,0.466019421815872,17
128,3,2,128,5,64,0.3,0.3,0.01,16,30,0.475728154182434,30
32,5,2,128,5,64,0.3,0.3,0.01,16,30,0.466019421815872,19
64,5,2,128,5,64,0.3,0.3,0.01,16,30,0.466019421815872,17
128,5,2,128,5,64,0.3,0.3,0.01,16,30,0.466019421815872,18
32,7,2,128,5,64,0.3,0.3,0.01,16,30,0.485436886548996,27
64,7,2,128,5,64,0.3,0.3,0.01,16,30,0.485436886548996,30
128,7,2,128,5,64,0.3,0.3,0.01,16,30,0.495145618915558,30
32,3,2,0,3,128,0.3,0.3,0.01,16,30,0.475728154182434,30
64,3,2,0,3,128,0.3,0.3,0.01,16,30,0.475728154182434,30
128,3,2,0,3,128,0.3,0.3,0.01,16,30,0.466019421815872,30
32,5,2,0,3,128,0.3,0.3,0.01,16,30,0.53398060798645,30
64,5,2,0,3,128,0.3,0.3,0.01,16,30,0.45631068944931,18
128,5,2,0,3,128,0.3,0.3,0.01,16,30,0.495145618915558,30
32,7,2,0,3,128,0.3,0.3,0.01,16,30,0.485436886548996,30
64,7,2,0,3,128,0.3,0.3,0.01,16,30,0.485436886548996,20
128,7,2,0,3,128,0.3,0.3,0.01,16,30,0.553398072719574,30
32,3,2,64,3,128,0.3,0.3,0.01,16,30,0.485436886548996,30
64,3,2,64,3,128,0.3,0.3,0.01,16,30,0.485436886548996,30
32,5,2,64,3,128,0.3,0.3,0.01,16,30,0.466019421815872,17
64,5,2,64,3,128,0.3,0.3,0.01,16,30,0.45631068944931,18
32,7,2,64,3,128,0.3,0.3,0.01,16,30,0.475728154182434,30
64,7,2,64,3,128,0.3,0.3,0.01,16,30,0.45631068944931,30
32,3,2,128,3,128,0.3,0.3,0.01,16,30,0.475728154182434,18
64,3,2,128,3,128,0.3,0.3,0.01,16,30,0.466019421815872,18
128,3,2,128,3,128,0.3,0.3,0.01,16,30,0.495145618915558,30
32,5,2,128,3,128,0.3,0.3,0.01,16,30,0.45631068944931,17
64,5,2,128,3,128,0.3,0.3,0.01,16,30,0.475728154182434,30
128,5,2,128,3,128,0.3,0.3,0.01,16,30,0.504854381084442,30
32,7,2,128,3,128,0.3,0.3,0.01,16,30,0.475728154182434,18
64,7,2,128,3,128,0.3,0.3,0.01,16,30,0.495145618915558,30
128,7,2,128,3,128,0.3,0.3,0.01,16,30,0.466019421815872,16
32,3,2,64,5,128,0.3,0.3,0.01,16,30,0.466019421815872,18
64,3,2,64,5,128,0.3,0.3,0.01,16,30,0.475728154182434,30
32,5,2,64,5,128,0.3,0.3,0.01,16,30,0.45631068944931,21
64,5,2,64,5,128,0.3,0.3,0.01,16,30,0.466019421815872,18
32,7,2,64,5,128,0.3,0.3,0.01,16,30,0.475728154182434,20
64,7,2,64,5,128,0.3,0.3,0.01,16,30,0.475728154182434,30
32,3,2,128,5,128,0.3,0.3,0.01,16,30,0.475728154182434,18
64,3,2,128,5,128,0.3,0.3,0.01,16,30,0.45631068944931,17
128,3,2,128,5,128,0.3,0.3,0.01,16,30,0.466019421815872,22
32,5,2,128,5,128,0.3,0.3,0.01,16,30,0.485436886548996,18
64,5,2,128,5,128,0.3,0.3,0.01,16,30,0.475728154182434,30
128,5,2,128,5,128,0.3,0.3,0.01,16,30,0.485436886548996,30
32,7,2,128,5,128,0.3,0.3,0.01,16,30,0.485436886548996,30
64,7,2,128,5,128,0.3,0.3,0.01,16,30,0.466019421815872,19
128,7,2,128,5,128,0.3,0.3,0.01,16,30,0.475728154182434,30
32,3,2,0,3,256,0.3,0.3,0.01,16,30,0.495145618915558,28
64,3,2,0,3,256,0.3,0.3,0.01,16,30,0.495145618915558,30
128,3,2,0,3,256,0.3,0.3,0.01,16,30,0.485436886548996,30
32,5,2,0,3,256,0.3,0.3,0.01,16,30,0.504854381084442,30
64,5,2,0,3,256,0.3,0.3,0.01,16,30,0.495145618915558,23
128,5,2,0,3,256,0.3,0.3,0.01,16,30,0.495145618915558,30
32,7,2,0,3,256,0.3,0.3,0.01,16,30,0.495145618915558,30
64,7,2,0,3,256,0.3,0.3,0.01,16,30,0.495145618915558,30
128,7,2,0,3,256,0.3,0.3,0.01,16,30,0.495145618915558,18
32,3,2,64,3,256,0.3,0.3,0.01,16,30,0.485436886548996,23
64,3,2,64,3,256,0.3,0.3,0.01,16,30,0.45631068944931,22
32,5,2,64,3,256,0.3,0.3,0.01,16,30,0.504854381084442,30
64,5,2,64,3,256,0.3,0.3,0.01,16,30,0.466019421815872,16
32,7,2,64,3,256,0.3,0.3,0.01,16,30,0.504854381084442,30
64,7,2,64,3,256,0.3,0.3,0.01,16,30,0.466019421815872,16
32,3,2,128,3,256,0.3,0.3,0.01,16,30,0.504854381084442,26
64,3,2,128,3,256,0.3,0.3,0.01,16,30,0.466019421815872,20
128,3,2,128,3,256,0.3,0.3,0.01,16,30,0.466019421815872,30
32,5,2,128,3,256,0.3,0.3,0.01,16,30,0.45631068944931,23
64,5,2,128,3,256,0.3,0.3,0.01,16,30,0.495145618915558,16
128,5,2,128,3,256,0.3,0.3,0.01,16,30,0.475728154182434,17
32,7,2,128,3,256,0.3,0.3,0.01,16,30,0.524271845817566,30
64,7,2,128,3,256,0.3,0.3,0.01,16,30,0.485436886548996,30
128,7,2,128,3,256,0.3,0.3,0.01,16,30,0.475728154182434,24
32,3,2,64,5,256,0.3,0.3,0.01,16,30,0.475728154182434,30
64,3,2,64,5,256,0.3,0.3,0.01,16,30,0.466019421815872,19
32,5,2,64,5,256,0.3,0.3,0.01,16,30,0.495145618915558,26
64,5,2,64,5,256,0.3,0.3,0.01,16,30,0.475728154182434,30
32,7,2,64,5,256,0.3,0.3,0.01,16,30,0.495145618915558,30
64,7,2,64,5,256,0.3,0.3,0.01,16,30,0.495145618915558,27
32,3,2,128,5,256,0.3,0.3,0.01,16,30,0.466019421815872,16
64,3,2,128,5,256,0.3,0.3,0.01,16,30,0.504854381084442,30
128,3,2,128,5,256,0.3,0.3,0.01,16,30,0.485436886548996,28
32,5,2,128,5,256,0.3,0.3,0.01,16,30,0.485436886548996,30
64,5,2,128,5,256,0.3,0.3,0.01,16,30,0.504854381084442,26
128,5,2,128,5,256,0.3,0.3,0.01,16,30,0.504854381084442,30
32,7,2,128,5,256,0.3,0.3,0.01,16,30,0.485436886548996,30
64,7,2,128,5,256,0.3,0.3,0.01,16,30,0.485436886548996,22
128,7,2,128,5,256,0.3,0.3,0.01,16,30,0.495145618915558,30
32,3,2,0,3,64,0.4,0.3,0.01,16,30,0.495145618915558,30
64,3,2,0,3,64,0.4,0.3,0.01,16,30,0.475728154182434,30
128,3,2,0,3,64,0.4,0.3,0.01,16,30,0.485436886548996,30
32,5,2,0,3,64,0.4,0.3,0.01,16,30,0.446601927280426,17
64,5,2,0,3,64,0.4,0.3,0.01,16,30,0.446601927280426,16
128,5,2,0,3,64,0.4,0.3,0.01,16,30,0.495145618915558,17
32,7,2,0,3,64,0.4,0.3,0.01,16,30,0.495145618915558,30
64,7,2,0,3,64,0.4,0.3,0.01,16,30,0.485436886548996,30
128,7,2,0,3,64,0.4,0.3,0.01,16,30,0.475728154182434,16
32,3,2,64,3,64,0.4,0.3,0.01,16,30,0.446601927280426,17
