"units1","units2","dropout_rate1","dropout_rate2","learning_rate","batch_size","epochs","val_accuracy","num_actual_epochs"
128,128,0.2,0.2,0.001,16,30,0.524271845817566,23
256,128,0.2,0.2,0.001,16,30,0.514563083648682,30
64,32,0.3,0.2,0.001,16,30,0.524271845817566,30
128,32,0.3,0.2,0.001,16,30,0.504854381084442,23
256,32,0.3,0.2,0.001,16,30,0.53398060798645,30
64,64,0.3,0.2,0.001,16,30,0.514563083648682,23
128,64,0.3,0.2,0.001,16,30,0.54368931055069,27
256,64,0.3,0.2,0.001,16,30,0.504854381084442,30
128,128,0.3,0.2,0.001,16,30,0.475728154182434,22
256,128,0.3,0.2,0.001,16,30,0.514563083648682,25
64,32,0.4,0.2,0.001,16,30,0.475728154182434,30
128,32,0.4,0.2,0.001,16,30,0.466019421815872,25
256,32,0.4,0.2,0.001,16,30,0.495145618915558,20
64,64,0.4,0.2,0.001,16,30,0.54368931055069,30
128,64,0.4,0.2,0.001,16,30,0.514563083648682,29
256,64,0.4,0.2,0.001,16,30,0.504854381084442,30
128,128,0.4,0.2,0.001,16,30,0.53398060798645,19
256,128,0.4,0.2,0.001,16,30,0.514563083648682,30
64,32,0.2,0.3,0.001,16,30,0.54368931055069,30
128,32,0.2,0.3,0.001,16,30,0.514563083648682,30
256,32,0.2,0.3,0.001,16,30,0.495145618915558,30
64,64,0.2,0.3,0.001,16,30,0.53398060798645,30
128,64,0.2,0.3,0.001,16,30,0.514563083648682,27
256,64,0.2,0.3,0.001,16,30,0.504854381084442,30
128,128,0.2,0.3,0.001,16,30,0.53398060798645,23
256,128,0.2,0.3,0.001,16,30,0.53398060798645,30
64,32,0.3,0.3,0.001,16,30,0.514563083648682,30
128,32,0.3,0.3,0.001,16,30,0.524271845817566,23
256,32,0.3,0.3,0.001,16,30,0.524271845817566,30
64,64,0.3,0.3,0.001,16,30,0.514563083648682,30
128,64,0.3,0.3,0.001,16,30,0.53398060798645,20
256,64,0.3,0.3,0.001,16,30,0.514563083648682,30
128,128,0.3,0.3,0.001,16,30,0.54368931055069,30
256,128,0.3,0.3,0.001,16,30,0.504854381084442,21
64,32,0.4,0.3,0.001,16,30,0.504854381084442,25
128,32,0.4,0.3,0.001,16,30,0.524271845817566,30
256,32,0.4,0.3,0.001,16,30,0.504854381084442,24
64,64,0.4,0.3,0.001,16,30,0.514563083648682,30
128,64,0.4,0.3,0.001,16,30,0.514563083648682,21
256,64,0.4,0.3,0.001,16,30,0.553398072719574,30
128,128,0.4,0.3,0.001,16,30,0.53398060798645,30
256,128,0.4,0.3,0.001,16,30,0.553398072719574,18
64,32,0.2,0.4,0.001,16,30,0.485436886548996,30
128,32,0.2,0.4,0.001,16,30,0.582524299621582,30
256,32,0.2,0.4,0.001,16,30,0.524271845817566,24
64,64,0.2,0.4,0.001,16,30,0.553398072719574,30
128,64,0.2,0.4,0.001,16,30,0.514563083648682,30
256,64,0.2,0.4,0.001,16,30,0.485436886548996,28
128,128,0.2,0.4,0.001,16,30,0.514563083648682,30
256,128,0.2,0.4,0.001,16,30,0.553398072719574,29
64,32,0.3,0.4,0.001,16,30,0.466019421815872,30
128,32,0.3,0.4,0.001,16,30,0.553398072719574,29
256,32,0.3,0.4,0.001,16,30,0.514563083648682,30
64,64,0.3,0.4,0.001,16,30,0.53398060798645,30
128,64,0.3,0.4,0.001,16,30,0.524271845817566,23
256,64,0.3,0.4,0.001,16,30,0.524271845817566,30
128,128,0.3,0.4,0.001,16,30,0.53398060798645,30
256,128,0.3,0.4,0.001,16,30,0.495145618915558,30
64,32,0.4,0.4,0.001,16,30,0.582524299621582,30
128,32,0.4,0.4,0.001,16,30,0.553398072719574,30
256,32,0.4,0.4,0.001,16,30,0.54368931055069,28
64,64,0.4,0.4,0.001,16,30,0.553398072719574,30
